,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
172,73742,0.2,-0.79,-0.46,-6.77,4.82,96.46,1.0
173,73853,0.63,-0.55,-0.49,39.02,76.83,21.89,1.0
174,73937,0.73,-0.75,-0.35,46.89,76.04,-18.41,1.0
175,74039,0.54,-0.69,-0.4,14.09,-41.28,46.95,1.0
176,74150,0.43,-0.76,-0.09,82.01,-12.13,9.02,1.0
177,74234,0.2,-1.03,-0.27,49.21,-79.57,63.9,1.0
178,74411,0.02,-0.97,-0.39,26.71,-70.67,24.21,1.0
179,74491,0.1,-0.99,-0.25,-1.04,-3.84,-16.77,1.0
180,74598,0.24,-0.78,-0.36,-3.78,26.59,-25.79,1.0
181,74705,0.11,-0.89,-0.42,8.6,23.54,1.71,1.0
182,74783,0.1,-0.89,-0.42,12.26,10.37,-21.89,1.0
183,74881,0.21,-0.86,-0.35,0.43,-7.38,-10.06,1.0
184,74987,0.3,-0.85,-0.41,9.7,44.7,-29.39,1.0
185,75067,0.25,-0.89,-0.25,4.7,93.66,-41.59,1.0
186,75175,0.32,-0.9,-0.22,24.51,71.71,-56.22,1.0
187,75246,0.48,-0.81,-0.13,34.94,36.71,-41.77,1.0
188,75351,0.43,-0.88,-0.02,18.54,27.87,-26.71,1.0
189,75459,0.62,-0.75,-0.01,4.88,35.67,-58.35,1.0
190,75538,0.66,-0.75,0.01,17.56,22.26,-102.44,1.0
191,75637,0.75,-0.63,0.07,-19.57,44.21,-124.7,1.0
192,75745,0.95,-0.36,0.11,-19.88,44.57,-127.2,1.0
193,75826,0.92,-0.22,0.14,-52.07,30.55,-127.01,1.0
194,75934,1.0,-0.05,0.15,-53.54,57.87,-140.12,1.0
195,76005,1.01,0.11,0.17,-54.63,5.49,-78.23,1.0
196,76112,1.0,0.14,0.17,-43.29,3.72,-31.71,1.0
197,76227,0.96,0.19,0.23,-7.93,28.29,-25.0,1.0
198,76306,0.97,0.22,0.3,-32.01,13.11,-31.89,1.0
199,76407,0.9,0.18,0.3,-71.52,-22.68,-0.98,1.0
200,76518,0.97,0.2,0.24,3.6,-2.93,11.59,1.0
201,76600,0.97,0.21,0.25,-7.01,-19.94,27.87,1.0
202,76711,0.93,0.09,0.2,-3.05,-20.67,25.91,1.0
203,76785,0.95,0.02,0.09,-71.83,-27.26,-2.26,1.0
204,76896,1.0,0.13,0.16,-73.48,11.52,-30.0,1.0
205,77007,1.02,0.16,0.22,-41.89,18.29,-8.66,1.0
206,77090,0.97,0.16,0.22,1.71,8.17,3.78,1.0
207,77190,0.94,0.17,0.13,-36.16,-16.65,6.28,1.0
208,77302,1.01,0.14,0.19,-9.09,-10.18,12.5,1.0
209,77384,1.0,0.09,0.18,12.68,-8.72,11.95,1.0
210,77492,1.0,0.11,0.19,105.37,-0.24,30.85,1.0
211,77566,0.96,0.06,0.18,145.79,-6.52,60.0,1.0
212,77677,0.98,0.04,0.09,70.85,-9.57,31.65,1.0
213,77853,1.0,-0.11,0.13,-29.7,2.13,12.07,1.0
214,77943,0.97,-0.24,0.11,-36.34,-36.71,67.2,1.0
215,78043,0.98,-0.26,0.03,-73.48,1.59,36.71,1.0
